iter	RMSE
0	0.3654192588
1	0.3431921533
2	0.3209287503
3	0.3047560995
4	0.2880021839
5	0.27289891
6	0.2592531452
7	0.246840373
8	0.2349241903
9	0.2254728271
10	0.2159276392
11	0.2077704499
12	0.1992873023
13	0.1917012017
14	0.1853727763
15	0.1789591228
16	0.1736804745
17	0.1695648773
18	0.1656874119
19	0.1611320593
20	0.1577063816
21	0.1536700839
22	0.1506723909
23	0.1479472795
24	0.1452666882
25	0.1425322279
26	0.1397178736
27	0.1373081944
28	0.1349746146
29	0.1331730817
30	0.1314147399
31	0.1296232859
32	0.1278067704
33	0.1262445515
34	0.1245799376
35	0.1229852032
36	0.1217656582
37	0.1205711887
38	0.1190610413
39	0.1179715915
40	0.1168250867
41	0.1159202505
42	0.1148847508
43	0.1140173299
44	0.112955912
45	0.1120029748
46	0.1109597074
47	0.1101791907
48	0.1092880713
49	0.1085696597
50	0.1079893729
51	0.1071892156
52	0.1066866567
53	0.1061552689
54	0.1054184809
55	0.1048146489
56	0.104368435
57	0.1037216444
58	0.1031784986
59	0.1024140065
60	0.1018179886
61	0.1012681022
62	0.100796005
63	0.1002248582
64	0.09954412325
65	0.0990970788
66	0.09875879775
67	0.09825868091
68	0.09768407722
69	0.09690615419
70	0.09641358289
71	0.09600380825
72	0.09559110655
73	0.09531050405
74	0.09510854586
75	0.09474904316
76	0.09414532785
77	0.09393390252
78	0.09372228265
79	0.09328107833
80	0.0927966389
81	0.09234357858
82	0.09207954127
83	0.09164701288
84	0.09127254555
85	0.09078489927
86	0.09058156849
87	0.09020711864
88	0.08929488522
89	0.08874947016
90	0.08822651361
91	0.08800369064
92	0.08786976657
93	0.08777375905
94	0.08727680023
95	0.08686282862
96	0.08631722494
97	0.08593541469
98	0.0854401681
99	0.08509845615
100	0.08478296537
101	0.08450135178
102	0.08416036787
103	0.08392217407
104	0.08365299952
105	0.08321086238
106	0.08280463208
107	0.0824256099
108	0.08212416238
109	0.08157903544
110	0.08119607466
111	0.08068124678
112	0.08032859475
113	0.08005339079
114	0.07982143935
115	0.07949008042
116	0.07929578408
117	0.07892702909
118	0.07840375217
119	0.07795436903
120	0.07760678354
121	0.07728594529
122	0.07701016246
123	0.07672842304
124	0.07619700822
125	0.07602229923
126	0.07563721201
127	0.07532689922
128	0.07497800765
129	0.07456070397
130	0.07428007787
131	0.07396787826
132	0.07357958124
133	0.07318680513
134	0.07268936726
135	0.07229078215
136	0.07210449695
137	0.07185122453
138	0.07156380961
139	0.07124809597
140	0.07097402597
141	0.07079958472
142	0.07037745045
143	0.07014067967
144	0.06991952088
145	0.06968054861
146	0.06941925183
147	0.06902054952
148	0.06877778896
149	0.06850089734
150	0.06816576732
151	0.06788751764
152	0.0675768203
153	0.06734509739
154	0.06730787456
155	0.0670334058
156	0.06682059102
157	0.06656523188
158	0.06637736323
159	0.06609841197
160	0.06569476394
161	0.06549762819
162	0.0650693925
163	0.06476271064
164	0.06448987387
165	0.06422836561
166	0.06398642854
167	0.06367044181
168	0.06346666876
169	0.06309774682
170	0.06306991099
171	0.06285745389
172	0.06255866877
173	0.06235361663
174	0.06202934976
175	0.0616840226
176	0.06150610928
177	0.06125988332
178	0.06103525134
179	0.06079724637
180	0.06049511907
181	0.06046547656
182	0.06018998079
183	0.05993106113
184	0.05978658228
185	0.0595763701
186	0.05933128632
187	0.05911318088
188	0.05886666418
189	0.05868511839
190	0.05856988431
191	0.05839486357
192	0.05812717985
193	0.05810457471
194	0.05784359771
195	0.05770498793
196	0.05768431826
197	0.05740547522
198	0.05738676164
199	0.05736750218
200	0.05721655614
201	0.05705167308
202	0.05689005073
203	0.05673035938
204	0.05657751011
205	0.05635383407
206	0.05625420357
207	0.05598005261
208	0.05579281736
209	0.05563560468
210	0.05539233075
211	0.05502694727
212	0.0548146174
213	0.05457842995
214	0.05423054717
215	0.05420261682
216	0.0539896765
217	0.05379484886
218	0.05356638549
219	0.05341270723
220	0.05332347141
221	0.05316879545
222	0.0529728071
223	0.05287997644
224	0.05278600959
225	0.05261210092
226	0.05258354468
227	0.05240057958
228	0.05220321634
229	0.05205036839
230	0.05202429437
231	0.05182749648
232	0.05164891776
233	0.05138673482
234	0.0511923997
235	0.05098806661
236	0.05097113571
237	0.05080162647
238	0.05058365352
239	0.05037380292
240	0.05019937164
241	0.05003956316
242	0.04991959799
243	0.04970337005
244	0.0495496343
245	0.0495222479
246	0.04930353436
247	0.04929285294
248	0.04910483527
249	0.04893651211
250	0.04870827041
251	0.04856481383
252	0.04842883943
253	0.04827511887
254	0.04814113176
255	0.04798224177
256	0.04790349814
257	0.04786989361
258	0.04774420943
259	0.04760838212
260	0.04740521193
261	0.04722876608
262	0.04707708264
263	0.04696540343
264	0.04676985384
265	0.04672940784
266	0.04671322815
267	0.0465699426
268	0.04630279719
269	0.04610796855
270	0.04594028089
271	0.04592798871
272	0.04569476917
273	0.04568124447
274	0.04563404936
275	0.04560464365
276	0.04549847425
277	0.04536812017
278	0.04521379509
279	0.04497300237
280	0.04487912554
281	0.04468194064
282	0.04451009948
283	0.04437548074
284	0.04404509785
285	0.04390621537
286	0.04386853593
287	0.04373601917
288	0.0435341061
289	0.04338025582
290	0.04320471146
291	0.04302074284
292	0.04283120032
293	0.04258969339
294	0.04244980051
295	0.04225675841
296	0.0420315038
297	0.04201800547
298	0.04183831575
299	0.04166403246
